Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SEA-01A,156.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
1,SEA-02A,156.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
2,SEA-03A,156.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
3,SEA-04A,156.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,SEA-05A,156.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,SEA-06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,SEA-07A,156.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,SEA-08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,SEA-09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
9,SEA-10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,SEA-11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,SEA-12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
12,SEA-13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
13,SEA-14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
14,SEA-15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
15,SEA-16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
16,SEA-17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
17,SEA-18A,156.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
18,SEA-19A,156.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
19,SEA-20A,157.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
20,SEA-21A,157.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
21,SEA-22A,157.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
22,SEA-23A,157.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
23,SEA-24,161.800000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
24,SEA-25,161.850000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
25,SEA-26,161.900000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
26,SEA-27,161.950000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
27,SEA-28,162.000000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
28,SEA-60A,156.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
29,SEA-61A,156.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
30,SEA-62A,156.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
31,SEA-63A,156.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
32,SEA-64A,156.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
33,SEA-65A,156.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
34,SEA-66A,156.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
35,SEA-67,156.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,SEA-68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
37,SEA-69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
38,SEA-70,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
39,SEA-71,156.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
40,SEA-72,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
41,SEA-73,156.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
42,SEA-74,156.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
43,SEA-77,156.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
44,SEA-78A,156.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
45,SEA-79A,156.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
46,SEA-80A,157.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
47,SEA-81A,157.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
48,SEA-82A,157.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
49,SEA-83A,157.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
50,SEA-84A,157.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
51,SEA-85A,157.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
52,SEA-86A,157.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
53,SEA-87A,157.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
54,SEA-88A,157.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
