Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,VPUEY-V,146.805000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,,,,,
1,MORON-V,147.165000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,S,,,,,
2,MORON-V2,223.980000,-,1.600000,Tone,136.5,88.5,023,NN,FM,5.00,S,,,,,
3,MORON-U,433.500000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,S,,,,,
4,BANF-V,147.315000,+,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
5,BANF-U,433.900000,+,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
6,LOMAS-V,147.225000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
7,LOMAS-U,433.700000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,S,,,,,
8,OLIVO-V,147.105000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
9,OLIVO-U,434.600000,+,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
10,BALLE-V,147.270000,+,0.600000,Tone,71.9,88.5,023,NN,FM,5.00,S,,,,,
11,BALLE-U,434.050000,+,5.000000,Tone,71.9,88.5,023,NN,FM,5.00,S,,,,,
12,P.CHA-V,147.060000,+,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
13,P.CHA-U,433.800000,+,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
14,BANF-V,147.315000,+,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
15,BANF-U,433.900000,+,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
16,QUILM-VA,145.390000,-,0.600000,Tone,131.8,88.5,024,NN,FM,5.00,S,,,,,
17,QUILM-VB,146.970000,-,0.600000,Tone,131.8,88.5,025,NN,FM,5.00,S,,,,,
18,QUILM-U,433.650000,+,5.000000,Tone,131.8,88.5,026,NN,FM,5.00,S,,,,,
19,PLATA-VA,147.330000,+,0.600000,Tone,82.5,88.5,026,NN,FM,5.00,S,,,,,
20,PLATA-VB,147.030000,+,0.600000,Tone,100.0,88.5,026,NN,FM,5.00,S,,,,,
21,PLATA-U,433.200000,+,5.000000,Tone,82.5,88.5,026,NN,FM,5.00,S,,,,,
